N,Title,Keywords,Abstract,Doi,Label
13,Comparing measurement properties of EQ-5D-Y-3L and EQ-5D-Y-5L in paediatric patients,Adolescent; Adult; Child; Humans; Longitudinal Studies; Psychometrics; Quality of Life; Reproducibility of Results; Surveys and Questionnaires; EQ-5D-Y-3L paediatric patients; EQ-5D-Y-5L; Health-related quality of life; Psychometrics,"BACKGROUND: The adult versions EQ-5D-3L and EQ-5D-5L have been extensive compared. This is not the case for the EQ-5D youth versions. The study aim was to compare the measurement properties and responsiveness of EQ-5D-Y-3L and EQ-5D-Y-5L in paediatric patients. METHODS: A sample of patients 8-16 years old with different diseases and a wide range of disease severity was asked to complete EQ-5D-Y-3L, EQ-5D-Y-5L, PedsQL Generic Core Scale, and selected, appropriate disease-specific instruments, three times. EQ-5D-Y-3L and EQ-5D-Y-5L were compared in terms of: feasibility, (re-)distribution properties, discriminatory power, convergent validity, test-retest reliability, and responsiveness. RESULTS: 286 participating patients suffered from one of the following diseases: major beta-thalassemia, haemophilia, acute lymphoblastic leukaemia, acute illness. Missing responses were comparable between versions of the EQ-5D-Y, suggesting comparable feasibility. The number of patients in the best health state (level profile 11111) was equal in both EQ-5D-Y versions. The projection of EQ-5D-Y-3L scores onto EQ-5D-Y-5L for all dimensions showed that the two additional levels in EQ-5D-Y-5L slightly improved the accuracy of patients in reporting their problems, especially if severe. Convergent validity with PedsQL and disease-specific measures showed that the two EQ-5D-Y versions performed about equally. Test-retest reliability (EQ-5D-Y-3L 0.78 vs EQ-5D-Y-5L 0.84), and sensitivity for detecting health changes, were both better in EQ-5D-Y-5L. CONCLUSIONS: Extending the number of levels did not give clear superiority to EQ-5D-Y-5L over EQ-5D-Y-3L based on the criteria assessed in this study. However, increasing the number of levels benefitted EQ-5D-Y performance in the measurement of moderate to severe problems and especially in longitudinal study designs",10.1186/s12955-021-01889-4,1
40,Feasibility of the EQ-5D in the elderly population: a systematic review of the literature,Aged; Feasibility Studies; Health Status; Humans; Psychometrics; Quality of Life/psychology; Reproducibility of Results; Surveys and Questionnaires; EQ-5D; EQ-5D-5L; Elderly; Feasibility; Health-related quality of life; Systematic review,"PURPOSE: The EQ-5D-3L and 5L are widely used generic preference-based instruments, which are psychometrically sound with the general population, but little is known about the instruments' feasibility in the elderly. Therefore, this systematic review summarises the available literature with regard to the feasibility properties of the instruments in the elderly population. METHODS: We conducted a systematic search in PubMed, PsycInfo and EuroQol databases using pre-specified vocabulary and inclusion/exclusion criteria to identify publications until November 2020. Study characteristics and outcomes referring to the feasibility of the EQ-5D-3L and 5L in the elderly were extracted, if all study participants were at least 65+ years. RESULTS: We identified 17 studies reporting feasibility outcomes based on four criteria: missing values, completion rates, completion time and broad qualitative statements referring to the completion. Missing values per dimension ranged from 0 to 10.7%, although being mostly below 7%. The completion rate was around 90% or better, whereas the EQ VAS rating was missing from 2.3 to 25.3% of the respondents. Only two of the included studies examined the EQ-5D-5L; 15 studies reported on the EQ-5D-3L. CONCLUSION: Comparing our findings against the general population from published literature, we find that feasibility outcomes in older age groups are just below that of younger populations. Furthermore, older respondents have a higher propensity of requiring assistance or even an interviewer-based approach. Nonetheless, the reviewed literature indicates that the EQ-5D-3L still has good feasibility properties and, hence, is highly applicable in older respondents. However, further research is needed to explore feasibility properties of the EQ-5D-5L in this population",10.1007/s11136-021-03007-9,0
59,Comparing the self-reported health-related quality of life (HRQoL) of artisanal and small-scale gold miners and the urban population in Zimbabwe using the EuroQol (EQ-5D-3L+C) questionnaire: a cross-sectional study,Adolescent; Adult; Cross-Sectional Studies; Female; Gold; Health Status; Humans; Male; Middle Aged; Mining; Quality of Life; Self Report/standards; Urban Population/statistics & numerical data; Young Adult; Zimbabwe/epidemiology; Artisanal and small-scale gold mining (ASGM); EuroQol (EQ-5D + C-3 L); Health-related quality of life (HRQoL); Mercury; Mercury intoxication; Minamata convention on mercury,"BACKGROUND: The role of artisanal and small-scale gold mining (ASGM) as a source of income is rapidly gaining importance in the economically difficult times in Zimbabwe. Besides limited epidemiological data, no data about the self-reported health-related quality of life (HRQoL) of artisanal and small-scale gold miners exist. The aim of the project was to access HRQoL of ASGM workers to improve the data base and compare the data to the urban Zimbabwean population. METHODS: Data from 83 artisanal and small-scale gold miners in Kadoma, Zimbabwe was analysed The HRQoL was assessed using the EuroQol dimensions (mobility, self-care, usual activities, pain/discomfort, anxiety/depression) accompanied by the cognition add-on questionnaire (EQ-5D-3L+C) and associated visual analogue scale (VAS). We described the EQ-5D dimensions and VAS values and computed health utility (HU) values using the Zimbabwean tariff. The proportions of miners reporting no problem in each EQ-5D dimension were compared with corresponding proportions reporting any problem (moderate or severe), and mean HU and VAS values were analysed across subgroups of the sample. To test differences between subgroups, Fisher's exact test was used and between urban and mining population, Student's t-test was used. RESULTS: The reported health states of miners were homogenous, with a large amount (42%) reporting 'full health'. Mean (SD) VAS and HU values were 81.0 (17.5) and 0.896 (0.13), respectively. Subgroup analysis showed that miners with a lower education reported significantly more problems in the dimension of daily activities and miners with mercury contact had more problems in the dimensions of pain/discomfort and cognition. Comparison between mining and urban population showed that in the oldest age group, self-rated VAS values of miners were significantly higher than of their urban counterparts. CONCLUSIONS: There were no significant differences in the HRQoL of mining and urban populations. However, the reason might be adverse health effects faced by the urban population that do not apply to rural mining areas. A higher education level of miners can improve the HRQoL, which is especially impaired by problems in the cognition dimension",10.1186/s12955-020-01475-0,1
85,Testing measurement properties of two EQ-5D youth versions and KIDSCREEN-10 in China,Adolescent; Child; China; Female; Health Status; Humans; Psychometrics; Quality of Life; Reproducibility of Results; Surveys and Questionnaires; China; EQ-5D-Y-3L; EQ-5D-Y-5L; Feasibility; KIDSCREEN-10; Validity; Youth,"OBJECTIVE: To assess measurement properties of the two youth versions of EQ-5D (i.e., 5-level EQ-5D-Y [Y-5L] and 3-level EQ-5D-Y [Y-3L]) and KIDSCREEN-10 in China. METHODS: Children and adolescents attending schools in Shanghai, China were recruited to self-complete the Y-5L, KIDSCREEN-10, and Y-3L questionnaires Their feasibility was assessed according to missing responses. Convergent validity of the EQ-5D-Y dimensions, a summated dimension score [SDS], and Visual Analogue Scale (VAS) were assessed by examining their correlations with the KIDSCREEN-10 index score and dimensions. Known-groups validity of SDS, VAS, and KIDSCREEN-10 index score were tested by comparing the scores of pupils with and without two conditions (i.e., overweight and shortsightedness), and the relative efficiency (RE) between them was also evaluated. RESULTS: A total of 262 pupils (girl: 58.4%; mean age: 12.7 years) were enrolled. Missing responses were low for both the Y-5L (0.3%) and Y-3L (2.4%), and KIDSCREEN-10 (0.3%). The overall ceiling effects were 40.3% for the Y-5L, 44.1% for the Y-3L and 1.1% for the KIDSCREEN-10. The SDS(Y-5L), SDS(Y-3L) and VAS were moderately correlated with the KIDSCREEN-10 index score (|r|= 0.425 for SDS(Y-5L), 0.323 for SDS(Y-3L), and 0.435 for VAS; p < 0.01 for all). Similar EQ-5D-Y and KIDSCREEN-10 dimensions showed moderate to strong correlations (|r|> 0.3). Both the SDS(Y-5L) and SDS(Y-3L) had lower values, and VAS and KIDSCREEN-10 index score had higher values for pupils without shortsightedness compared with those for their counterparts. The difference was statistical significance for the SDS(Y-5L) and VAS (P < 0.05 for both), which also had higher RE in the condition. CONCLUSIONS: The Y-5L, Y-3L, and KIDSCREEN-10 questionnaires are feasible and valid for measuring HRQoL among children/adolescents in China. It also appears that the advantages of Y-5L over Y-3L were modest",10.1007/s10198-021-01307-y,1
377,Use of Antimalarial Agents is Associated with Favourable Physical Functioning in Patients with Systemic Lupus Erythematosus,antimalarial agents; health perceptions; health-related quality of life; medication adherence; patient-reported outcomes; systemic lupus erythematosus; treatment,"Impaired health-related quality of life (HRQoL) is a major problem in patients with systemic lupus erythematosus (SLE). Antimalarial agents (AMA) are the cornerstone of SLE therapy, but data on their impact on HRQoL are scarce. We investigated this impact using baseline data from the BLISS-52 (NCT00424476) and BLISS-76 (NCT00410384) trials (n = 1684). HRQoL was self-reported using the Medical Outcomes Study short-form 36 (SF-36), functional assessment of chronic illness therapy (FACIT)-Fatigue and 3-level EuroQoL 5-Dimension (EQ-5D) questionnaires. Patients on AMA (n = 1098/1684) performed better with regard to SF-36 physical component summary, physical functioning, role physical, bodily pain, FACIT-Fatigue, EQ-5D utility index and EQ-5D visual analogue scale scores The difference in SF-36 physical functioning (mean ± standard deviation (SD): 61.1 ± 24.9 versus 55.0 ± 26.5; p < 0.001) exceeded the minimal clinically important difference (≥5.0). This association remained significant after adjustment for potential confounding factors in linear regression models (standardised coefficient, β = 0.07; p = 0.002). Greater proportions of AMA users than non-users reported no problems in the mobility, self-care, usual activities and anxiety/depression EQ-5D dimensions. AMA use was particularly associated with favourable HRQoL in physical aspects among patients with active mucocutaneous and musculoskeletal disease, and mental aspects among patients with active renal SLE These results provide support in motivating adherence to AMA therapy. Exploration of causality in the relationship between AMA use and favourable HRQoL in SLE has merit",10.3390/jcm9061813,1
460,Effect of angular correction during posterior instrumentation of spinal fractures on postoperative outcomes and quality of life,EuroQol EQ-5D; Thoracolumbar fracture; closed reduction; comi-score; quality of life,"BACKGROUND: Posterior instrumentation using pedicle screws and rods is the most commonly used technique for the treatment of thoracolumbar fractures of the spine. The procedure aims to restore the neurologic and biomechanical functions of the spine and allows for early mobilization and rapid reintegration into society. It is unclear whether the magnitude of correction has an effect on postoperative outcomes. OBJECTIVE: We aimed to determine whether the magnitude of sagittal angular correction during posterior instrumentation of the spine had an effect on postoperative quality of life, pain and function outcomes as measured using the EQ5D-3L and the Core Outcome Measures Index (COMI) instruments. We also aimed to quantify the correlation between EQ5D-3L and COMI scores. METHODS: We analyzed the pre- and postoperative radiographs of 52 patients who underwent percutaneous pedicle screw placement for thoracolumbar fractures, as well as their self-reported EQ5D-3L and COMI quality of life, pain and functional outcome scores. Regression models were constructed to estimate the effect that the magnitude of Cobb angle correction had on postoperative outcomes. We also estimated the correlation between EQ5D-3L and COMI scores. RESULTS: The median EQ5D-3L TTO score was 0.9 (range, -0.1 to 1). The median COMI score was 3.1 (range, 0 to 10). There was no significant effect of the magnitude of correction on EQ5d-3L TTO scores (p= 0.3379; R= 0.36) or on COMI scores (p= 0.3379; R= 0.15). Age and bone mineral density were not found to be significant predictors of outcome (p= 0.05). There was a strong correlation between the EQ5D-3L TTO and COMI scores (r=-0.62). CONCLUSION: The magnitude of Cobb angle correction during pedicle screw instrumentation of thoracolumbar fractures did not influence quality of life, pain or function outcomes. There was good correlation between EQ5D-3L TTO scores and COMI scores",10.3233/THC-213616,1
1308,Relationship between residential district and health-related quality of life in Chungnam industrial complex area,Euro quality of life-5 dimension; Health-related quality of life; Industrial complex area; Republic of Korea,"OBJECTIVES: This study aimed to evaluate the relationship between residential district of people, such as power plant, steel-mill and petrochemical industries, and health-related quality of life (HRQoL). METHODS: Using a cross-sectional study design, we randomly recruited participants for our study from industrial areas (thermoelectric power plant, steel-mill, petrochemical industry) and rural areas. Logistic regression analysis was used to identify the relationships between Euro quality of life-5 dimension (EQ-5D) scores and living region, while controlling for sociodemographic characteristics. RESULTS: In adjusted model, quality of life decreased with increasing category of age and were lower for females than males. EQ-5D scores of people living in the vicinity of thermoelectric power plant were significant lower than those of people living the vicinity of comparison region (odds ratio, 1.59; 95% confidence interval, 1.00 to 2.53). CONCLUSIONS: Living region of thermoelectric power plant, was strongly associated with scores on the EQ-5D. More research is needed to elucidate the mechanisms which makes the relationship with the living regions and HRQoL",10.5620/eht.e2016017,1
1572,A Comparison of Concomitant Tributary Laser Ablation and Foam Sclerotherapy in Patients Undergoing Truncal Endovenous Laser Ablation for Lower Limb Varicose Veins,"Combined Modality Therapy; Female; Humans; Laser Therapy/methods; Leg/blood supply; Male; Middle Aged; Pain Measurement; Prospective Studies; Saphenous Vein; Sclerotherapy/methods; Surveys and Questionnaires; Treatment Outcome; Ultrasonography, Interventional; Varicose Veins/therapy","PURPOSE: To compare outcomes of patients who received simultaneous tributary endovenous laser ablation (EVLA) or foam sclerotherapy (FS) with EVLA of the great saphenous vein (GSV) trunk. METHODS AND MATERIALS: This study recruited 418 patients (542 legs) with diagnosed varicose veins. Patients in the EVLA/FS group (255 patients, 327 legs) received concomitant FS for the tributaries with truncal lasering. For the EVLA-alone group (163 patients, 215 legs), tributaries (8W) were ablated with EVLA in addition to the GSV trunk (14W). Complications, Aberdeen Varicose Vein Questionnaire (AVVQ), EuroQol Group 5-Dimension Self-Report Questionnaire (EQ-5D), numerical rating scale (NRS) scores, and condition of residual varicosities were assessed at 3 days, 4 weeks, and 6 months after procedure. All residual varicosities were identified and treated with a staged FS at 6 months. RESULTS: Except for ecchymosis, incidence of other complications was not significantly different between both groups at 6 months Pain NRS scores of the EVLA/FS group were remarkably elevated at 4 weeks and then, at 6 months, declined to a level similar to the EVLA-alone group. The EVLA/FS group exhibited more significant improvement in both AVVQ and EQ-5D scales than the EVLA group at 6 months, while exhibiting poor improvement at 4 weeks. The EVLA/FS group had a significantly lower rate of residual varicosities than the EVLA group, thus reducing the need for the staged FS. CONCLUSIONS: These results confirm the feasibility and safety of simultaneous tributary EVLA and FS In addition, they indicate better early quality-of-life improvement and a reduced reoperation rate of simultaneously combined truncal EVLA and tributary FS",10.1016/j.jvir.2018.01.774,1
2027,The Scale of instantaneous wellbeing: validity in a population with major neurocognitive disorders,"Aged; Aged, 80 and over; Alzheimer Disease/diagnosis/psychology; Female; Humans; Male; Neurocognitive Disorders/diagnosis/psychology; Neuropsychological Tests; Quality of Life; Reproducibility of Results; major neurocognitive disorders; quality of life; scale","The quality of life (QoL) of people with a neurodegenerative pathology is a major issue in the absence of curative treatment. However, validated tools, suitable for patients with major neurocognitive disorders at a severe stage are rare and time-consuming in routine. The aim of this study is to analyze the validity of convergence and the reliability over time of a visual analog scale of well-being named EVIBE (Échelle d'évaluation instantanée de bien-être). The correlation between the EVIBE and another quality of life scale, the Qol-Ad was studied. The correlation with other scales expected to vary with QoL was also studied with the EQ-5D for the measurement of the state of health felt and the NPI-ES for the measurement of behavioral disorders. The EVIBE was administered twice, a few minutes apart, to measure its reliability over time. One hundred and thirty-five patients with Alzheimer's disease or a related disorder were recruited. The results indicated a significant correlation with Qol-AD (r=0.54, p< 0.001). The correlation remained significant when the Mini mental state examination was less than 10 (r=0.39, p=0.05). Correlations between EVIBE and EQ-5D and NPI-ES indicated more mixed results with significant correlation only for the analog part of the EQ-5D (r=0.34, p=0.007). The comparison between the two EVIBEs a few minutes apart showed a satisfactory agreement (r=0.52, p> 0.001). This study shows that EVIBE present a good convergence validity and a good reliability over time to measure the QoL of patients with neurodegenerative pathology even at severe stages of the disease. The scale allows a direct and rapid assessment of the QoL of patients in routine",10.1684/pnv.2018.0745,0
2054,Using the Choice Sequence in Time Trade-Off as Discrete Choices: Do the Two Stories Match?,Choice Behavior; Health Status; Humans; Logistic Models; Patient Preference; Quality-Adjusted Life Years; Surveys and Questionnaires; Time Factors; DCE; EQ-5D; TTO; health state utitlity; methodological study; regression modelling,"OBJECTIVES: The EQ-5D-5L valuation protocol recommends combining time trade-off (TTO) and discrete choice experiments (DCEs). DCEs that include a duration attribute (DCE(TTO)) allow modeling on the quality-adjusted life-year scale Because the choice sequence in a TTO can be construed as a series of DCE(TTO), we used data from a single TTO study to investigate the extent to which DCE values match TTO values when based on identical preferences. METHODS: In a TTO design in which a fixed set of choices were administered without termination at preference indifference, 202 individuals each valued 10 EQ-5D health states. From identified indifference points, we estimated three sets of TTO values: (i) plotting means and (ii) applying censored regressions at -1 and 1. Using all strict preferences, we (iii) estimated DCE(TTO) values with a logit model and a bootstrap procedure RESULTS: Estimated DCE(TTO) and TTO values agreed well at the severe end of the quality-adjusted life-year scale, but with decreasing severity, DCE(TTO) values were higher than TTO-values, with the difference peaking at 0.37 for the mildest health state. Left-censoring TTO values at -1 worsen the agreement for the worst health states and did not affect health states. Right censoring at 1 improved the agreement for mild states. CONCLUSIONS: TTO and the DCE(TTO) values estimated from the same preference data diverged, with increasing difference for milder health states. Although the values converged when applying censored regression at +1, we question the validity of this adjustment",10.1016/j.jval.2019.10.003,0
