N,Title,Keywords,Abstract,Doi
179,Correlation between disease severity factors and EQ-5D utilities in chronic obstructive pulmonary disease,"Aged; Cross-Sectional Studies; Female; Humans; Male; Pulmonary Disease, Chronic Obstructive/physiopathology; Quality of Life/psychology; CAT; COPD; EQ-5D; Health-Related Quality of Life","PURPOSE: Impaired health-related quality of life (HRQoL) is associated with poor health outcomes in chronic obstructive pulmonary disease (COPD). The aim of this study was to determine health utilities in patients with COPD and to identify the variables with the greatest impact. METHODS: This is a pooled analysis of data from 4 observational studies performed in stable COPD patients. Evaluation of patient HRQoL utilities was performed using the Spanish version of the self-administered EuroQoL 5 Dimensions (EQ-5D) questionnaire. EQ-5D utilities were described and compared according to several markers of disease severity RESULTS: 6198 patients reported a mean (SD) EQ-5D index of 0.67 (0.26). A linear dose response relationship between EQ-5D utility and modified Medical Research Council (mMRC) score, forced expiratory volume in one 1 s (% predicted), COPD hospital admissions in the previous year, self-reported daily walking time, Charlson index, body mass index, obstruction, dyspnoea and exacerbation (BODEx) index, COPD assessment test (CAT), hospital anxiety and depression scale was observed (p for trend < 0.001). In multivariate analysis, patients reporting lower utility values were those with more dyspnoea, more comorbidities, using long-term oxygen therapy, with previous hospitalisations due to a COPD exacerbation and higher (worse) CAT score. CONCLUSION: HRQoL measures such as EQ-5D can assist clinicians to understand the impact of respiratory disease on COPD patients",10.1007/s11136-019-02340-4
13783,Long-term outcomes of colectomy surgery among patients with ulcerative colitis,"Colectomy; Quality of life, pouchitis/pouch failure; Survey; Ulcerative colitis","The objective of this study was to evaluate long-term health-related quality of life outcomes among patients who had a colectomy within the previous 10 years. A cross-sectional survey was administered to consecutive patients ≥18 years of age with ulcerative colitis who had a colectomy within the last 10 years from centers in Canada, Australia, and the United Kingdom. Data were extracted from medical chart reviews to confirm selected self-reported patient characteristics. Of 351 survey respondents, 49 % were male and the median age was 40 years (interquartile range 30-52). Respondents were diagnosed with UC a median of 9.2 (5.7-15.1) years prior to the survey and first surgery occurred a median of 3.7 (2.1-5.8) years ago. Although most respondents (84 %) reported improved quality of life compared to the status before surgery, 81 % experienced problems in at least one of the following areas: depression, work productivity, restrictions in diet, body image, and sexual function. According to HADS scores, 30 and 17 % of survey respondents experienced anxiety and depression, respectively. Among moderate to severe UC patients pre-colectomy, 27 % of men and 28 % of women reported that their sexual life was worse now than before surgery. The mean EQ-5D utility index score overall was 0.79 (95 % confidence interval 0.77-0.81). Quality of life after colectomy for UC is generally good, but there are persistent quality of life issues that impact multiple domains, including psychological and sexual functioning",10.1186/s40064-015-1350-7
2615,Association of neuropathic-like pain characteristics with clinical and radiographic features in patients with ankylosing spondylitis,"Adult; Aged; Back Pain/etiology; Cross-Sectional Studies; Depression; Female; Humans; Linear Models; Male; Middle Aged; Multivariate Analysis; Neuralgia/etiology; Pain Measurement; Prospective Studies; Psychiatric Status Rating Scales; Quality of Life; Radiography; Republic of Korea; Severity of Illness Index; Spondylitis, Ankylosing/complications/diagnostic imaging; Surveys and Questionnaires; Young Adult; Ankylosing spondylitis; Depression; Enthesitis; Neuropathic pain; mSASSS; painDETECT questionnaire","Ankylosing spondylitis (AS) is a chronic, progressive, and inflammatory disorder and causes chronic back pain. It is not unusual for patients with AS to have symptoms similar to neuropathic pain. We aimed to investigate the neuropathic pain (NeP) component in patients with AS using the painDETECT questionnaire (PD-Q) and to assess the relation between NeP and the disease characteristics of AS. A single-center prospective study was performed, including 105 patients Patients with AS completed three questionnaires: PD-Q, Beck Depression Inventory (BDI), and Euro Quality of Life (EQ-5D) questionnaires. Patients were classified into three groups according to the PD-Q scores: nociceptive pain (NoP) (score ≤ 12), mixed pain (MP) (score 13-18), and NeP pain (score ≥ 19). Fifteen patients (14.2%) were classified into the NeP group, 22 (21.0%) in the MP group, and 68 (64.8%) in the NoP group. The questionnaires and clinical and radiographic findings were analyzed. Patients with NeP and MP scored worse on the Bath Ankylosing Spondylitis Disease Activity Index (BASDAI); BDI; modified Stoke Ankylosing Spondylitis Spine Score; pain-visual analog scale (VAS); and EQ-5L index and showed an increased prevalence of enthesitis and peripheral arthritis There were no differences in objective inflammatory markers. PD-Q scores were positively correlated with pain-VAS, BASDAI, BDI, and inversely correlated with EQ-5D index. Age, BASDAI, presence of current enthesitis, and BDI score were independently associated with PD-Q scores. The findings showed that NeP component in AS was associated with age, high disease activity, presence of current enthesitis, and depression",10.1007/s10067-018-4125-z
10419,Measuring the benefits of treatment for psychosis: validity and responsiveness of the EQ-5D,"Adolescent; Adult; Cognitive Behavioral Therapy/economics; Cost-Benefit Analysis; Female; Humans; Male; Mental Disorders/therapy; Mental Health Services/economics; Middle Aged; Outcome Assessment, Health Care/economics; Quality of Life; Surveys and Questionnaires/standards; United Kingdom; Young Adult","BACKGROUND: The UK National Institute for Health and Clinical Excellence (NICE) has recommended that cost-effectiveness analysis includes the EQ-5D; however, this is often not implemented in the area of mental health. AIMS: To assess the appropriateness of using the EQ-5D to measure improvements in mental health METHOD: Seventy-seven participants with psychosis were rated according to the EQ-5D and seven measures of mental health at both pre- and post-intervention. To assess construct validity we compared the (pre-intervention) mean EQ-5D scores for those with milder and more severe scores, according to each of the seven measures. To assess responsiveness we estimated the mean EQ-5D change score for those who improved (post-intervention), according to each of the measures RESULTS: The mean EQ-5D score was more favourable for both those with milder scores (mean difference: 0.044 to 0.301) and for those who improved post-intervention (mean change: 0.029 to 0.117). CONCLUSIONS: This suggests the EQ-5D should be considered for use in future cost-effectiveness studies in the area of mental health",10.1192/bjp.bp.108.057380
1177,Effectiveness of telemedicine for cardiovascular disease management: systematic review and meta-analysis,"Chronic Disease; Humans; Mental Health; Outcome Assessment, Health Care; Quality of Life; Randomized Controlled Trials as Topic; Telemedicine; Telemedicine; cardiovascular disease (CVD); health management","BACKGROUND: With the development of information communication technology (ICT), telemedicine has become a promising option for patients with chronic diseases who need continuous monitoring at home or in remote health care facilities. As cardiovascular disease (CVD) is responsible for an estimated 17.9 million deaths globally each year, it is appropriate to evaluate the effectiveness of telemedicine for the health care management of CVD patients. METHODS: The Library of Congress, LISTA (EBSCO), PubMed (NLM), and Web of Science databases were searched with a date limitation from 1 January 2000 until 5 August 2021 for Randomized Controlled Trial (RCT) studies. Two independent researchers screened the records for inclusion and extracted the data for synthesis, supported by RevMan 5.0 software. As one of the clinical outcomes, the mean difference and standard deviation of systolic blood pressure were synthesized. For the Quality-of-life measures, EuroQol-5D (EQ-5D) scores were also synthesized and for the depression level, CESD-10 scores were synthesized. RESULTS: We identified 23 studies for qualitative analysis and 21 studies for quantitative analysis. 21 studies included systolic blood pressure as an outcome measure and the results show a statistical difference (P<0.05) between the intervention group and the control group and a favorable inclination toward the Telemedicine enhanced health care program over the usual care. Of the six studies that included body mass index (BMI) as an outcome measure, there was no significant difference in BMI between the telemedicine and usual health care groups. A total of five studies assessed patients' quality of life using the EQ-5D instrument. After excluding one study following the sensitivity analysis, telemedicine was shown to significantly improve patients' quality of life. Three studies that investigated patients' mental health (CSE-D-10) also showed a significantly beneficial effect of telemedicine over usual health care. DISCUSSION: This review found limited evidence to support some of the outcomes in the original study designs. Overall, our findings suggested a favorable effect of telemedicine intervention in the field of health care for CVD patients. Due to the unavoidable heterogeneity within the selected literature, a more detailed investigation and analysis of the unclear outcomes is recommended",10.21037/apm-21-3626
8556,Protocol for a feasibility randomised controlled trial of a musculoskeletal exercise intervention versus usual care for children with haemophilia,Biomechanical Phenomena; Child; Exercise Therapy/methods; Hemophilia A/therapy; Humans; Male; Muscle Strength; Posture; Randomized Controlled Trials as Topic; Walk Test; exercise; haemophilia; muscle strength; physical function; physiotherapy,"INTRODUCTION: Haemophilia is a rare, inherited disorder in which blood does not clot normally, resulting in bleeding into joints and muscles. Long-term consequence is disabling joint pain, stiffness, muscle weakness, atrophy and reduced mobility. The purpose of this proposed feasibility of a randomised controlled trial (RCT) is to test the feasibility of an age-appropriate physiotherapy intervention designed to improve muscle strength, posture and the way boys use their joints during walking and everyday activities. METHODS AND ANALYSIS: A small-scale two-centre RCT of a 12-week muscle strengthening exercise intervention versus usual care for young children with haemophilia will be conducted. Primary outcomes will be safety and adherence to the exercise intervention. Secondary outcomes will include recruitment, retention and adverse event rates, clinical data, muscle strength, joint biomechanics and foot loading patterns during walking, 6 min timed walk, timed-up-and-down-stairs, EQ-5D-Y, participants' perceptions of the study, training requirements and relevant costs Recruitment, follow-up, safety and adherence rates will be described as percentages. Participant diary and interview data will be analysed using a framework analysis. Demographic and disease variable distributions will be analysed for descriptive purposes and covariant analysis. Estimates of differences between treatment arms (adjusted for baseline) and 75% and 95% CIs will be calculated. ETHICS AND DISSEMINATION: The study has ethical approval from the London-Fulham Research Ethics Committee (17/LO/2043) as well as Health Research Authority approval. As well as informing the design of the definitive trial, results of this study will be presented at local, national and international physiotherapy and haemophilia meetings as well as manuscripts submitted to peer-reviewed journals. We will also share the main findings of the study to all participants and the Haemophilia Society",10.1136/bmjopen-2019-029474
1542,Health-related quality of life associated with different symptoms in women and in men who suffer from schizophrenia,Adult; Female; Humans; Male; Middle Aged; Prospective Studies; Quality of Life; Schizophrenia/therapy; Schizophrenic Psychology; Sex Factors; Surveys and Questionnaires; Gender; Health-related quality of life; Negative symptoms; Positive symptoms; Schizophrenia,"Health-related quality of life (HRQoL) in patients with schizophrenia is related to the severity of psychiatric symptoms. The objective of this study is to analyze whether the symptoms that influence HRQoL are similar in women and men Data were part of the Pattern study, an international observational investigation which collected data from 1379 outpatients with schizophrenia. Patients were evaluated with the Mini International Neuropsychiatric Inventory, the Clinical Global Impression-Schizophrenia, and the Positive and Negative Syndrome Scale (PANSS), and reported their quality of life using the Schizophrenia Quality of Life Scale (SQLS), the Short Form-36 (SF-36), and the EuroQol-5 Dimension (EQ-5D). Men reported higher HRQoL on all scales. PANSS total score was 80.6 (SD 23.6) for women and 77.9 (SD 22.1) for men. In women, a higher PANSS negative score and a higher PANSS affective score were associated with a lower SQLS score In men, a higher PANSS positive score and a higher PANSS affective score were associated with a lower SQLS score. The same pattern appeared with EQ-VAS and EQ-5D tariff. In women, greater age and higher PANSS affective score were associated with a lower SF-36 mental component score. In men, higher PANSS affective, positive, and cognitive scores were associated with a lower SF-36 mental component score. This study shows that HRQoL is influenced by different psychiatric symptoms in women and men. This may have significant implications when deciding the main treatment target in patients with schizophrenia.ClinicalTrials.gov Identifier: https://clinicaltrials.gov/ct2/show/NCT01634542",10.1007/s00737-018-0896-0
6443,Effect of Intrathecal Baclofen on Pain and Quality of Life in Poststroke Spasticity,"Administration, Oral; Aged; Baclofen/administration & dosage; Benzodiazepines/therapeutic use; Clonidine/analogs & derivatives/therapeutic use; Dantrolene/therapeutic use; Female; Humans; Infusions, Spinal; Male; Middle Aged; Muscle Relaxants, Central/administration & dosage/therapeutic use; Muscle Spasticity/drug therapy/etiology; Pain/drug therapy/etiology; Pain Measurement; Patient Satisfaction; Physical Therapy Modalities; Quality of Life; Severity of Illness Index; Stroke/complications; Stroke Rehabilitation; Treatment Outcome; baclofen; muscle spasticity; pain; quality of life; stroke","Background and Purpose- Intrathecal baclofen (ITB) is an effective treatment for managing patients with severe poststroke spasticity, who can experience continued pain and decline in their quality of life (QoL). SISTERS (Spasticity In Stroke-Randomized Study) was a randomized, controlled, open-label, multicenter, phase 4 study to evaluate ITB therapy versus conventional medical management (CMM) with oral antispastic medications for treatment of poststroke spasticity Methods- Poststroke patients with spasticity in ≥2 extremities and an Ashworth Scale score of ≥3 in ≥2 affected lower extremity muscle groups were randomized (1:1) to ITB (N=31) or CMM (N=29). Both treatment arms received physiotherapy throughout. The primary outcome was the change in average Ashworth Scale score in the lower extremities of the affected side from baseline to month 6. Here, we report results for secondary outcomes: pain via the Numeric Pain Rating Scale, health-related QoL by the EuroQol-5 dimensional 3 level utility score and health status visual analog scale score, stroke-specific QoL, and patient satisfaction Analyses were performed on an intention-to-treat basis. Results- We observed significant treatment effects in favor of ITB over CMM for changes from baseline to month 6 in Numeric Pain Rating Scale scores for actual pain (ITB versus CMM: mean, -1.17 [SD, 3.17] versus 0.00 [3.29]; median, -1.00 versus 0.00; P=0.0380) and least pain (mean, -1.61 [2.29] versus 0.24 [3.07]; median, -1.00 versus 0.00; P=0.0136), and EuroQol-5 dimensional 3 level utility scores (mean, +0.09 [0.26] versus +0.01 [0.16]; median, +0.07 versus 0.00; P=0.0197). Between-group differences were not statistically significant for EuroQol-5 dimensional 3 level visual analog scale, stroke-specific QoL summary, or Numeric Pain Rating Scale worst pain scores, although ITB patients showed greater numeric improvements from baseline during follow-up. More ITB patients than CMM patients (73% versus 48%) were satisfied with the spasticity reduction at month 6. Conclusions- These data support that ITB therapy is associated with improvements in pain and QoL in poststroke patients. Clinical Trial Registration- URL: https://www.clinicaltrials.gov . Unique identifier: NCT01032239",10.1161/STROKEAHA.118.022255
5943,Health-related quality of life burden in scleroderma patients treated with two different intravenous iloprost regimens,"Administration, Intravenous; Cost of Illness; Drug Administration Schedule; Female; Humans; Iloprost/administration & dosage; Male; Middle Aged; Prospective Studies; Quality of Life; Scleroderma, Systemic/drug therapy","Systemic sclerosis (SSc)-related Raynaud's phenomenon (RP) and digital ulcers (DU) can impair health-related quality of life (HRQoL). The aim of our study was to estimate HRQoL in SSc patients treated with two different intravenous (IV) iloprost (ILO) regimens and in patients not treated with IV ILO. 96 consecutive SSc patients were enrolled in a pragmatic, prospective and non-randomized study, and divided into 3 groups: not requiring therapy with IV ILO (N=52), IV ILO once monthly (N=24) or IV ILO for 5 consecutive days every 3 months (N=20). Patients were followed up for three months. We assessed HRQoL using the generic preference-based questionnaire EQ-5D-5L. We conducted multiple regression analyses to estimate, in each treatment group, the mean general health (GH) and the mean utility index of the EQ-5D-5L, adjusting for possible confounders. The mean adjusted utility index and GH score, after three months' follow-up, were not different in the three groups: IV ILO was able to make patients requiring IV ILO similar to those not requiring it. Moreover, there was no difference in this model between the two ILO regimens (1 day monthly vs 5 consecutive days every 3 months). The two different IV ILO regimens (the most appropriate regimen was decided according to patients' characteristics and needs) were able to stabilize HRQoL in RP secondary to SSc non-adequately controlled by oral therapy",10.4081/reumatismo.2019.1190
7382,Supporting patients with long-term conditions in the community: Evaluation of the Greater Manchester Community Pharmacy Care Plan Service,Aged; Blood Pressure; Body Mass Index; Chronic Disease/economics/therapy; Community Pharmacy Services/economics/organization & administration; England; Female; Health Expenditures/statistics & numerical data; Health Resources/statistics & numerical data; Humans; Lipids/blood; Male; Medication Adherence; Middle Aged; Patient Participation/psychology; Patient Satisfaction; Quality of Life; Self-Management/economics/methods; State Medicine; Surveys and Questionnaires; care planning and management; chronic/long-term conditions; community pharmacy; patient activation; pharmacy practice research,"The Greater Manchester Community Pharmacy Care Plan (GMCPCP) service provided tailored care plans to help adults with one or more qualifying long-term condition (hypertension, asthma, diabetes and COPD) to achieve health goals and better self-management of their long-term conditions. The service ran between February and December 2017. The aim of this study was to investigate the impact of the service on patient activation, as measured by the PAM measure (primary outcome). Secondary outcomes included quality of life (EQ-5D-5L, EQ-VAS), medication adherence (MARS-5), NHS resource use and costs, systolic and diastolic blood pressure, HDL cholesterol ratio levels and body mass index (BMI). A before and after design was used, with follow-up at 6-months. A questionnaire was distributed at follow-up and telephone interviews with willing participants were used to investigate patient satisfaction with the service. The study was approved by the University of Manchester Research Ethics Committee. Quantitative data were analysed in SPSS v22 (IBM). A total of 382 patients were recruited to the service; 280 (73%) remained at follow-up. Ten patients were interviewed and 43 completed the questionnaire. A total of 613 goals were set; mean of 1.7 goals per patient. Fifty percent of goals were met at follow-up. There were significant improvements in PAM, EQ-5D-5L and EQ-VAS scores and significant reductions in systolic blood pressure, BMI and HDL cholesterol ratio at follow-up. Mean NHS service use costs were significantly lower at follow-up; with a mean decrease per patient of £236.43 (±SD £968.47). The mean cost per patient for providing the service was £203.10, resulting in potential cost-savings of £33.33 per patient (SD ± 874.65). Questionnaire respondents reported high levels of satisfaction with the service. This study suggests that the service is acceptable to patients and may lead to improvements in health outcomes and allows for modest cost savings. Limitations of the study included the low response rate to the patient questionnaire",10.1111/hsc.12992
