N,label1,label2,label3
179,1,1,1
8556,1,1,1
1542,1,1,1
5943,1,1,1
7382,1,1,1
1644,1,1,1
8736,0,1,1
11779,1,1,1
9074,1,1,1
5534,1,1,1
7975,1,1,1
15468,1,1,1
14828,0,1,1
13908,1,1,1
8092,1,1,1
9712,1,1,1
10366,1,1,1
11561,1,1,1
1332,1,0,1
14144,1,1,1
14266,1,1,1
6154,1,1,1
3582,1,1,1
12308,1,0,1
7155,0,1,1
14699,1,1,1
13928,1,1,1
3465,1,1,1
4849,1,1,1
3963,1,1,1
9953,1,1,1
3723,0,1,1
7249,1,1,1
6409,0,1,1
7929,1,1,0
4323,1,1,1
12526,1,1,1
12547,0,1,1
11969,1,1,1
7996,1,1,1
12300,1,1,1
6511,1,1,1
7728,1,1,1
3480,1,1,1
8582,1,1,1
10409,1,1,1
9794,1,1,0
8484,1,1,1
3172,1,1,1
12705,1,1,1
7437,0,1,1
14630,1,1,1
14568,1,1,1
1451,1,0,1
8403,1,1,1
1439,1,1,1
10317,1,1,1
3973,1,1,1
10286,1,1,1
3433,1,1,1
6292,1,1,1
2560,1,0,1
5947,0,1,1
10062,1,1,1
10599,1,1,1
7730,1,1,1
10887,1,1,1
11767,1,1,1
9047,1,1,1
1416,1,1,1
1477,1,1,1
2889,1,1,1
9197,1,1,1
106,1,1,1
12618,1,1,1
8379,1,1,1
1616,1,1,1
773,1,1,1
3399,1,1,0
15239,1,1,1
4855,1,1,1
10570,1,1,1
10728,1,1,1
11716,1,1,1
9849,1,1,1
12518,1,0,1
5219,1,1,1
10883,1,1,1
4873,1,1,1
903,1,1,1
8160,1,1,1
405,1,1,1
8375,1,1,1
3359,0,1,1
8826,1,1,1
14900,1,1,1
12651,1,1,1
13313,1,1,1
4224,0,1,1
9582,1,1,1
12043,1,1,1
12463,1,1,1
7945,1,1,1
11533,1,1,1
2934,1,1,1
3078,1,1,1
11122,1,1,1
7993,1,1,1
8535,1,1,1
13485,1,1,1
7664,1,1,1
1987,1,1,1
13274,1,1,1
2213,1,1,1
2414,0,1,1
13398,1,1,1
11018,1,1,1
14473,0,1,1
15167,1,1,1
15361,1,1,1
6137,1,1,1
178,1,0,1
4191,1,1,1
11796,1,1,1
4732,1,1,1
9990,1,1,1
12551,1,1,1
1088,1,1,1
2804,1,1,1
2216,1,1,1
2628,1,1,1
6222,1,0,1
4218,1,1,1
15113,1,0,1
9526,0,1,1
1110,1,1,1
10310,0,1,1
634,1,1,0
5216,1,1,1
2131,1,1,1
10473,1,1,1
5451,1,1,1
1584,1,1,1
3228,0,1,1
12462,1,1,1
7348,1,1,1
6012,0,1,1
1412,0,1,1
7158,1,1,1
9459,1,1,1
3060,1,1,1
9298,1,1,1
12163,1,1,1
13657,1,1,1
10870,1,1,1
3171,1,1,1
5843,1,1,0
1059,1,1,1
12452,0,1,0
12776,1,1,1
11622,1,1,1
1314,0,1,1
11021,1,0,0
