N,label1,label2,label3,Agreement Category
8736,0,1,1,Two Agree
14828,0,1,1,Two Agree
1332,1,0,1,Two Agree
12308,1,0,1,Two Agree
7155,0,1,1,Two Agree
3723,0,1,1,Two Agree
6409,0,1,1,Two Agree
7929,1,1,0,Two Agree
12547,0,1,1,Two Agree
9794,1,1,0,Two Agree
7437,0,1,1,Two Agree
1451,1,0,1,Two Agree
2560,1,0,1,Two Agree
5947,0,1,1,Two Agree
3399,1,1,0,Two Agree
12518,1,0,1,Two Agree
3359,0,1,1,Two Agree
4224,0,1,1,Two Agree
2414,0,1,1,Two Agree
14473,0,1,1,Two Agree
178,1,0,1,Two Agree
6222,1,0,1,Two Agree
15113,1,0,1,Two Agree
9526,0,1,1,Two Agree
10310,0,1,1,Two Agree
634,1,1,0,Two Agree
3228,0,1,1,Two Agree
6012,0,1,1,Two Agree
1412,0,1,1,Two Agree
5843,1,1,0,Two Agree
12452,0,1,0,Two Agree
1314,0,1,1,Two Agree
11021,1,0,0,Two Agree
